bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,t_flag,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,last_time,qstatus,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,after_next_put_dt,icons,is_min_price,blocked,putting,force_redeem_price_tip,notes,rank_indicator
113545,金能转债,jnzz,115.963,-0.89,603113,金能科技,jnkj,7.9,-2.23,0.77,7.62,103.67,0,11.86,127.82,220204,shmb,C,2019-11-07,[],0,0,,AA-,,5.33,9.91,14.3,,2025-10-14,0.156,9.564,4246.64,12933.47,3.81,-33.52,,0,11:05:06,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-04-20 开始转股,计算使用0.2年期 评级为AA- 债参考YTM：1.9423,N,15.0,全价：115.963 最后更新：11:05:06,,,,0,{'M': ''},0,0,N,,,137.384
128130,景兴转债,jxzz,130.729,0.23,002067,景兴纸业,jxzy,4.42,0.68,0.95,3.39,130.38,0,0.27,131.0,360102,szmb,C,2020-09-18,[],0,0,,AA,,2.71,4.41,13.2,,2026-08-31,1.036,6.651,4863.33,15667.94,5.59,-14.21,,0,11:05:12,00,Y,N,0,0,Y,,2021-03-04 开始转股,计算使用1.1年期 评级为AA 债参考YTM：1.7711,N,12.8,全价：130.729 最后更新：11:05:12,,,,1,{'M': ''},0,0,N,,,137.651
123049,维尔转债,wezz,119.631,0.47,300190,维尔利,wel,3.84,0.26,1.1,3.55,108.17,0,10.6,130.23,760104,szcy,C,2020-05-12,[],0,0,,A-,,2.49,4.62,30.8,,2026-04-13,0.652,9.169,1912.64,2075.42,1.75,-2.09,,0,11:05:12,00,Y,N,6,6,Y,转股价下修6次，成功下修6次,2020-10-19 开始转股,计算使用0.7年期 评级为A- 债参考YTM：9.2277,N,9.172,全价：119.631 最后更新：11:05:12,,,,1,[],0,0,N,,,139.399
127047,帝欧转债,dozz,129.414,1.34,002798,帝欧家居,dojj,6.61,4.42,1.97,5.1,129.61,0,-0.15,129.26,360306,szmb,C,2021-11-26,[],0,0,,A-,,3.57,6.63,38.4,,2027-10-25,2.186,10.28,7915.31,7666.97,5.97,-3.99,,0,11:05:12,00,Y,N,1,1,N,"转股价下修1次，成功下修1次
2025-08-14 至 2025-08-20 期间暂停转股：回售
转股价5.100生效日期2024-11-01",2022-04-29 开始转股;2025-08-14 至 2025-08-20 期间暂停转股：回售,计算使用2.2年期 评级为A- 债参考YTM：9.5176,N,15.0,全价：129.414 最后更新：11:05:12,,,,0,[],0,0,Y,,,139.54
127015,希望转债,xwzz,111.236,0.15,000876,新希望,xxw,9.72,0.62,1.7,10.59,91.78,0,21.2,132.44,110702,szmb,C,2020-02-04,[],0,0,,AAA,,7.41,13.77,2.2,,2026-01-03,0.378,9.494,1876.2,14364.29,1.78,-12.54,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-07-09 开始转股,计算使用0.4年期 评级为AAA 债参考YTM：1.6255,N,40.0,全价：111.236 最后更新：11:05:12,,,,1,{'M': ''},0,0,N,,,141.934
128076,金轮转债,jlzz,137.617,0.27,002722,物产金轮,wcjl,17.69,0.4,1.37,13.34,132.61,0,3.78,141.4,640206,szmb,C,2019-11-08,[],0,0,,AA-,,9.34,17.34,6.9,,2025-10-14,0.156,2.128,5808.5,11642.36,19.75,-128.48,,0,11:05:12,00,Y,N,0,0,Y,,2020-04-20 开始转股,计算使用0.2年期 评级为AA- 债参考YTM：1.9423,N,2.14,全价：137.617 最后更新：11:05:12,,,,1,[],0,0,N,,,143.52800000000002
123130,设研转债,syzz,138.02,-0.63,300732,设研院,syy,10.83,0.19,1.34,8.05,134.53,0,2.59,140.61,620601,szcy,C,2021-12-02,[],0,0,,AA,,5.64,10.47,10.7,,2027-11-11,2.233,3.74,14690.98,17824.17,28.49,-7.88,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-05-17 开始转股,计算使用2.3年期 评级为AA 债参考YTM：1.9286,N,3.76,全价：138.020 最后更新：11:05:12,,,,0,[],0,0,N,,,144.35000000000002
123198,金埔转债,jpzz,135.581,0.43,301098,金埔园林,jpyl,9.69,0.41,1.33,7.55,128.34,0,5.64,141.22,620307,szcy,C,2023-07-07,[],0,0,,A,,5.29,9.82,22.5,,2029-06-08,3.808,3.259,1849.23,3685.44,4.19,-3.2,,0,11:05:03,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-12-14 开始转股,计算使用3.9年期 评级为A 债参考YTM：7.6510,N,5.2,全价：135.581 最后更新：11:05:03,,,,0,{'M': ''},0,0,N,,,144.47899999999998
123207,冠中转债,gzzz,127.1,0.74,300948,冠中生态,gzst,11.51,0.7,2.01,10.44,110.25,0,15.28,142.38,620307,szcy,C,2023-08-09,[],0,0,,A-,,7.31,13.57,26.5,,2029-07-21,3.926,3.997,1726.11,2060.09,3.4,-1.46,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2024-01-29 开始转股,计算使用4.0年期 评级为A- 债参考YTM：10.0198,N,4.0,全价：127.100 最后更新：11:05:12,,,,0,{'M': ''},0,0,N,,,146.377
110063,鹰19转债,y19zz,122.672,0.28,600567,山鹰国际,sygj,1.93,0.52,0.69,1.76,109.66,0,11.87,134.54,360102,shmb,C,2020-01-03,[],0,0,,AA,,1.23,2.29,12.8,,2025-12-13,0.321,13.877,1524.9,20592.03,0.9,-29.94,,0,11:04:52,00,Y,N,5,5,Y,转股价下修5次，成功下修5次,2020-06-19 开始转股,计算使用0.4年期 评级为AA 债参考YTM：1.7069,N,18.6,全价：122.672 最后更新：11:04:52,,,,1,{'M': ''},0,0,N,,,148.417
113033,利群转债,lqzz,115.5,0.35,601366,利群股份,lqgf,4.65,0.43,1.01,4.84,96.07,0,20.22,135.72,450303,shmb,C,2020-04-21,[],0,0,,AA,,3.39,6.29,30.5,,2026-04-01,0.619,12.967,2033.81,2410.36,1.36,-7.73,,0,11:05:07,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-10-09 开始转股,计算使用0.7年期 评级为AA 债参考YTM：1.7535,N,18.0,全价：115.500 最后更新：11:05:07,,,,1,[],0,0,N,,,148.687
113030,东风转债,dfzz,146.54,-0.57,601515,东峰集团,dfjt,4.52,-1.09,1.63,3.1,145.81,0,0.5,147.04,360205,shmb,C,2020-01-20,[],0,0,,AA,,2.17,4.03,2.2,,2025-12-24,0.351,1.907,5211.35,12356.85,18.6,-67.75,,0,11:05:04,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2020-06-30 开始转股,计算使用0.4年期 评级为AA 债参考YTM：1.7069,N,2.953,全价：146.540 最后更新：11:05:04,,,,1,{'M': ''},0,0,N,,,148.947
128105,长集转债,cjzz,131.59,0.63,002616,长青集团,cqjt,6.26,1.46,1.61,5.3,118.11,0,11.41,143.0,410109,szmb,C,2020-05-13,[],0,0,,AA-,,3.71,6.89,20.6,,2026-04-09,0.641,6.05,4945.3,3712.7,6.22,-25.7,,0,11:05:09,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2020-10-15 开始转股,计算使用0.7年期 评级为AA- 债参考YTM：2.1777,N,8.0,全价：131.590 最后更新：11:05:09,,,,1,[],0,0,N,,,149.05
113565,宏辉转债,hhzz,145.018,0.6,603336,宏辉果蔬,hhgs,8.29,1.34,4.03,5.85,141.71,0,2.33,147.35,110103,shmb,C,2020-03-16,[],0,0,,A+,,4.1,7.61,4.7,,2026-02-26,0.526,2.245,5660.52,7980.07,17.39,-43.51,,0,11:04:26,00,Y,N,0,0,Y,,2020-09-03 开始转股,计算使用0.6年期 评级为A+ 债参考YTM：4.4924,N,3.32,全价：145.018 最后更新：11:04:26,,,,1,[],0,0,N,,,149.595
128131,崇达转2,cdz2,137.048,1.44,002815,崇达技术,cdjs,14.14,3.06,2.09,10.25,137.95,0,-0.65,136.4,270202,szmb,C,2020-09-28,[],0,0,,AA,,7.18,13.33,15.1,,2026-09-07,1.055,13.729,20601.66,34386.47,11.02,-17.78,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-03-11 开始转股,计算使用1.1年期 评级为AA 债参考YTM：1.7711,N,14.0,全价：137.048 最后更新：11:05:12,,,,0,[],0,0,N,,,150.12900000000002
127019,国城转债,gczz,130.18,0.54,000688,国城矿业,gcky,14.37,0.21,4.45,12.58,114.23,0,13.96,144.14,240303,szmb,C,2020-08-10,[],0,0,,A+,,8.81,16.35,4.6,,2026-07-15,0.907,7.518,2276.52,9909.05,2.33,-17.15,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-21 开始转股,计算使用1.0年期 评级为A+ 债参考YTM：4.5575,N,8.5,全价：130.180 最后更新：11:05:12,,,,1,{'M': ''},0,0,N,,,151.658
113631,皖天转债,wtzz,137.727,1.24,603689,皖天然气,wtrq,8.87,1.6,1.26,6.86,129.3,0,6.52,144.25,410301,shmb,C,2021-12-10,[],0,0,,AA+,,4.8,8.92,19.5,,2027-11-08,2.225,8.399,2330.04,3856.44,2.02,-8.55,,0,11:05:08,00,Y,N,0,0,Y,,2022-05-12 开始转股,计算使用2.3年期 评级为AA+ 债参考YTM：1.8444,N,9.3,全价：137.727 最后更新：11:05:08,,,,0,[],0,0,N,,,152.649
113569,科达转债,kdzz,136.956,1.22,603660,苏州科达,szkd,7.71,2.25,4.1,6.38,120.85,0,13.33,150.29,710103,shmb,C,2020-04-08,[],0,0,,A-,,4.47,8.29,6.6,,2026-03-09,0.556,2.713,3127.22,11324.58,8.44,-28.82,,0,11:05:04,00,Y,N,2,2,Y,转股价下修2次，成功下修2次,2020-09-14 开始转股,计算使用0.6年期 评级为A- 债参考YTM：9.1924,N,5.16,全价：136.956 最后更新：11:05:04,,,,1,{'M': ''},0,0,N,,,153.003
123166,蒙泰转债,mtzz,141.294,0.94,300876,蒙泰高新,mtgx,30.26,0.9,3.68,23.47,128.93,0,9.59,150.88,220404,szcy,C,2022-11-25,[],0,0,,A,,16.43,30.51,14.5,,2028-11-02,3.211,2.999,1733.66,1573.07,4.11,-4.96,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-05-08 开始转股,计算使用3.3年期 评级为A 债参考YTM：7.5509,N,3.0,全价：141.294 最后更新：11:05:12,,,,0,{'M': ''},0,0,N,,,153.879
128127,文科转债,wkzz,124.858,0.69,002775,文科股份,wkgf,4.55,-0.22,12.75,4.42,102.94,0,21.29,146.15,620307,szmb,C,2020-09-11,[],0,0,,A-,,3.09,5.75,37.4,,2026-08-20,1.006,8.038,3883.1,9139.09,3.88,-6.0,,0,11:05:12,00,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-03-01 开始转股,计算使用1.1年期 评级为A- 债参考YTM：9.2645,N,9.5,全价：124.858 最后更新：11:05:12,,,,1,[],0,0,N,,,154.18800000000002
